AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
1.27,1045450.41,105069.07,352698.21,9425.64,578257.49,252881.52,325375.97,0.0,organic,2016,TotalUS
1.29,1023655.87,132040.04,346341.46,6709.65,538564.72,282353.48,256211.24,0.0,organic,2016,TotalUS
1.28,1012415.85,127184.88,351951.65,5698.2,527581.12,309561.6,218019.52,0.0,organic,2016,TotalUS
1.44,845011.63,110120.49,347488.78,10423.3,376979.06,277995.45,98983.61,0.0,organic,2016,TotalUS
1.45,738856.92,104135.94,281188.89,8629.03,344903.06,223281.18,121621.88,0.0,organic,2016,TotalUS
1.37,852463.31,102897.63,306235.69,6955.69,436374.3,201936.87,234437.43,0.0,organic,2016,TotalUS
1.44,758795.1,101408.79,290813.54,8028.75,358544.02,210519.67,148024.35,0.0,organic,2016,TotalUS
1.43,772077.2,108929.21,269687.52,5515.91,387944.56,204288.83,183655.73,0.0,organic,2016,TotalUS
1.41,776964.55,99316.69,270980.88,12933.97,393733.01,204859.71,188873.3,0.0,organic,2016,TotalUS
1.44,695341.42,115992.81,266824.72,13106.29,299417.6,150719.73,148697.87,0.0,organic,2016,TotalUS
1.35,828670.59,113867.63,287590.19,8771.79,418440.98,183115.43,235325.55,0.0,organic,2016,TotalUS
1.43,704100.5,124799.63,246580.95,7749.4,324970.52,150967.35,174003.17,0.0,organic,2016,TotalUS
0.91,318683.18,19703.32,48083.12,142.0,250754.74,58951.54,191803.2,0.0,organic,2016,West
1.23,173890.1,27404.62,34331.66,185.11,111968.71,27269.38,84699.33,0.0,organic,2016,West
1.34,163585.07,31859.03,32090.48,64.88,99570.68,24023.81,75546.87,0.0,organic,2016,West
1.31,202181.56,29864.64,36193.58,63.49,136059.85,20438.49,115621.36,0.0,organic,2016,West
1.52,168440.43,28656.52,31983.14,64.8,107735.97,31027.16,76708.81,0.0,organic,2016,West
1.66,171623.92,33916.58,38582.41,31.05,99093.88,27888.84,71205.04,0.0,organic,2016,West
1.81,160864.58,27341.41,52348.72,72.26,81102.19,34945.74,46156.45,0.0,organic,2016,West
1.84,140457.87,32388.45,43773.59,89.29,64206.54,14689.35,49517.19,0.0,organic,2016,West
2.16,96943.41,42763.18,39555.64,60.88,14563.71,11572.83,2990.88,0.0,organic,2016,West
1.92,101890.97,35139.81,36768.19,153.5,29829.47,15072.18,14757.29,0.0,organic,2016,West
1.56,152876.61,23968.08,36780.7,57.44,92070.39,25657.03,66413.36,0.0,organic,2016,West
1.68,126192.84,30116.28,33882.82,189.03,62004.71,29570.26,32434.45,0.0,organic,2016,West
1.59,139393.05,29390.8,31959.14,43.19,77999.92,20453.89,57546.03,0.0,organic,2016,West
1.78,118420.15,31346.67,31031.61,122.6,55919.27,27538.32,28380.95,0.0,organic,2016,West
1.59,160880.99,39692.64,29626.54,302.54,91259.27,53282.81,37976.46,0.0,organic,2016,West
1.48,197265.79,43258.13,39127.68,77.84,114802.14,46197.11,68605.03,0.0,organic,2016,West
1.61,177083.68,42575.46,60202.23,527.53,73778.46,37977.13,35801.33,0.0,organic,2016,West
1.92,125950.35,37698.95,56204.07,486.07,31561.26,23214.22,8347.04,0.0,organic,2016,West
1.82,144812.23,43598.18,50611.87,104.26,50497.92,31310.25,19187.67,0.0,organic,2016,West
1.75,176385.1,44064.59,63383.04,117.36,68820.11,51024.36,17795.75,0.0,organic,2016,West
1.7,177284.38,49438.88,53061.67,94.46,74689.37,39122.15,35567.22,0.0,organic,2016,West
1.65,189615.28,50386.72,54278.15,106.15,84844.26,29501.17,55343.09,0.0,organic,2016,West
1.88,168610.5,49512.52,69123.8,186.93,49787.25,33356.15,16431.1,0.0,organic,2016,West
1.85,179798.46,51709.18,80874.26,91.31,47123.71,23318.33,23805.38,0.0,organic,2016,West
1.54,226554.8,47697.0,78885.22,81.91,99890.67,60450.95,39439.72,0.0,organic,2016,West
1.47,245935.09,57696.2,84970.72,146.71,103121.46,29715.52,73405.94,0.0,organic,2016,West
1.56,213439.57,57147.64,101491.99,226.13,54573.81,17817.37,36756.44,0.0,organic,2016,West
1.49,244706.99,70317.09,133145.27,206.8,41037.83,17327.6,23710.23,0.0,organic,2016,West
1.6,183825.41,73423.24,87335.68,755.62,22310.87,11351.58,10959.29,0.0,organic,2016,West
1.58,195651.71,58162.59,111261.31,629.91,25597.9,17579.09,8018.81,0.0,organic,2016,West
1.37,249655.68,37317.27,123135.77,3020.45,86182.19,52709.61,33472.58,0.0,organic,2016,West
1.27,321890.92,69931.66,137437.19,546.57,113975.5,52117.86,61857.64,0.0,organic,2016,West
1.39,252652.39,55508.03,137201.71,269.8,59672.85,20447.22,39225.63,0.0,organic,2016,West
1.08,291268.76,49339.11,99082.98,5756.76,137089.91,20696.46,116393.45,0.0,organic,2016,West
1.01,509484.65,163000.7,151262.14,9538.16,185683.65,55292.78,130390.87,0.0,organic,2016,West
1.01,628445.85,143958.38,213511.34,339.25,270636.88,213637.25,56999.63,0.0,organic,2016,West
1.31,250678.16,32114.27,89178.52,155.12,129230.25,64711.23,64519.02,0.0,organic,2016,West
0.99,405751.04,30288.09,99517.71,131.37,275813.87,81246.82,194567.05,0.0,organic,2016,West
1.27,226558.02,35134.68,77837.8,115.48,113470.06,44860.97,68609.09,0.0,organic,2016,West
1.39,208015.17,34897.61,73832.59,73.54,99211.43,24069.73,75141.7,0.0,organic,2016,West
0.99,380211.61,27234.11,92382.38,128.95,260466.17,36003.44,224462.73,0.0,organic,2016,West
1.0,344775.17,42978.57,73760.05,156.62,227879.93,60151.34,167728.59,0.0,organic,2016,West
0.96,356224.38,35600.89,76142.32,121.22,244359.95,97380.11,146979.84,0.0,organic,2016,West
1.42,183804.74,24290.16,78457.11,141.15,80916.32,51887.57,29028.75,0.0,organic,2016,West
1.37,163120.64,22049.09,50654.13,60.78,90356.64,45278.4,45078.24,0.0,organic,2016,West
1.07,292307.61,27729.22,74888.46,133.74,189556.19,25453.95,164102.24,0.0,organic,2016,West
1.22,196570.63,23296.91,54945.8,102.18,118225.74,52341.87,65883.87,0.0,organic,2016,West
1.23,216330.45,26543.86,55055.64,81.03,134649.92,46628.66,88021.26,0.0,organic,2016,West
1.27,184872.75,28542.09,50418.71,133.0,105778.95,43105.63,62673.32,0.0,organic,2016,West
1.27,190161.43,28881.17,58843.29,69.26,102367.71,20133.83,82233.88,0.0,organic,2016,West
1.09,255091.59,26496.6,71724.89,119.85,156750.25,21108.02,135642.23,0.0,organic,2016,West
1.41,171841.15,31369.85,51648.96,110.53,88711.81,15175.56,73536.25,0.0,organic,2016,West
1.31,17382.2,1381.72,3099.16,20.05,12881.27,12843.07,38.2,0.0,organic,2016,WestTexNewMexico
1.34,11406.5,945.89,2571.83,31.47,7857.31,7819.17,38.14,0.0,organic,2016,WestTexNewMexico
1.54,13227.83,790.03,3777.96,60.01,8599.83,8510.92,88.91,0.0,organic,2016,WestTexNewMexico
1.82,9895.04,819.39,2435.34,19.99,6620.32,6533.87,86.45,0.0,organic,2016,WestTexNewMexico
1.72,9783.93,1014.39,2423.56,0.0,6345.98,6307.59,38.39,0.0,organic,2016,WestTexNewMexico
1.75,11140.07,1377.62,3897.77,2.85,5861.83,5848.5,13.33,0.0,organic,2016,WestTexNewMexico
1.59,14666.55,1302.11,3840.13,11.41,9512.9,9443.44,69.46,0.0,organic,2016,WestTexNewMexico
2.01,8433.01,1281.15,5281.54,8.56,1861.76,1804.65,57.11,0.0,organic,2016,WestTexNewMexico
2.57,5647.48,593.81,4865.11,8.56,180.0,176.67,3.33,0.0,organic,2016,WestTexNewMexico
2.27,4582.72,758.61,3479.36,11.41,333.34,333.34,0.0,0.0,organic,2016,WestTexNewMexico
2.93,5373.88,901.06,3284.87,8.55,1179.4,1146.07,33.33,0.0,organic,2016,WestTexNewMexico
2.35,6223.98,1319.88,2864.97,8.55,2030.58,1993.91,36.67,0.0,organic,2016,WestTexNewMexico
2.79,5562.0,790.45,3627.36,14.25,1129.94,1116.94,13.0,0.0,organic,2016,WestTexNewMexico
2.83,4984.76,652.27,3047.02,8.54,1276.93,1231.67,45.26,0.0,organic,2016,WestTexNewMexico
1.77,10726.53,1561.83,2483.57,5.69,6675.44,6399.23,276.21,0.0,organic,2016,WestTexNewMexico
1.87,13156.18,2037.56,3390.26,0.0,7728.36,5526.32,2202.04,0.0,organic,2016,WestTexNewMexico
1.82,14809.52,3062.97,3324.14,0.0,8422.41,4847.6,3574.81,0.0,organic,2016,WestTexNewMexico
1.69,13652.91,2630.75,2321.75,11.34,8689.07,5137.77,3551.3,0.0,organic,2016,WestTexNewMexico
1.76,15357.93,3349.0,3122.34,17.0,8869.59,4720.0,4149.59,0.0,organic,2016,WestTexNewMexico
1.72,16857.19,3292.5,2737.61,16.99,10810.09,6816.67,3993.42,0.0,organic,2016,WestTexNewMexico
1.78,17562.46,3788.5,2995.35,22.63,10755.98,6086.67,4669.31,0.0,organic,2016,WestTexNewMexico
1.84,16389.34,3381.02,3234.02,28.27,9746.03,5696.67,4049.36,0.0,organic,2016,WestTexNewMexico
1.99,16025.11,3853.35,4310.26,8.49,7853.01,3647.77,4205.24,0.0,organic,2016,WestTexNewMexico
1.89,20129.64,4933.26,4562.27,0.0,10634.11,5736.67,4897.44,0.0,organic,2016,WestTexNewMexico
1.65,23418.88,5754.48,5221.55,0.0,12442.85,5753.33,6689.52,0.0,organic,2016,WestTexNewMexico
1.43,22964.25,6310.64,5419.26,8.52,11225.83,3343.33,7882.5,0.0,organic,2016,WestTexNewMexico
1.38,21667.76,5547.63,6169.07,14.21,9936.85,4803.33,5133.52,0.0,organic,2016,WestTexNewMexico
1.37,18402.19,6836.26,6446.18,14.24,5105.51,2193.34,2912.17,0.0,organic,2016,WestTexNewMexico
1.36,19518.92,8202.09,5855.07,1465.64,3996.12,2191.79,1804.33,0.0,organic,2016,WestTexNewMexico
1.29,24167.8,6253.6,7313.37,1359.7,9241.13,5613.33,3627.8,0.0,organic,2016,WestTexNewMexico
1.35,47067.58,4805.12,25176.83,7675.68,9409.95,6003.34,3406.61,0.0,organic,2016,WestTexNewMexico
1.36,30983.48,6703.59,12464.46,999.34,10816.09,4708.3,6107.79,0.0,organic,2016,WestTexNewMexico
1.25,50809.3,6329.81,28751.94,572.18,15155.37,5948.7,9206.67,0.0,organic,2016,WestTexNewMexico
1.1,41244.99,4759.58,9207.54,14337.18,12940.69,7111.59,5829.1,0.0,organic,2016,WestTexNewMexico
1.09,52358.11,5422.01,17237.12,21948.79,7750.19,5167.45,2582.74,0.0,organic,2016,WestTexNewMexico
1.36,38767.82,2907.01,25699.0,262.86,9898.95,5774.63,4124.32,0.0,organic,2016,WestTexNewMexico
1.36,37885.9,2655.44,25121.02,177.35,9932.09,5036.29,4895.8,0.0,organic,2016,WestTexNewMexico
1.31,21561.29,3204.95,7746.53,111.55,10498.26,8558.96,1939.3,0.0,organic,2016,WestTexNewMexico
1.29,20698.7,2278.61,6800.76,58.05,11561.28,10538.62,1022.66,0.0,organic,2016,WestTexNewMexico
1.41,17528.02,2983.3,6722.24,53.08,7769.4,7268.06,501.34,0.0,organic,2016,WestTexNewMexico
1.47,15705.35,2731.96,6730.01,52.95,6190.43,6185.08,5.35,0.0,organic,2016,WestTexNewMexico
1.3,18611.51,1716.44,8405.31,60.03,8429.73,8365.7,64.03,0.0,organic,2016,WestTexNewMexico
1.32,18916.59,2653.06,5464.63,14.37,10784.53,10704.67,79.86,0.0,organic,2016,WestTexNewMexico
1.36,16034.56,2064.7,5044.66,7.17,8918.03,8879.53,38.5,0.0,organic,2016,WestTexNewMexico
1.48,14413.74,1308.04,4865.24,4.77,8235.69,7090.72,1144.97,0.0,organic,2016,WestTexNewMexico
1.39,15805.58,1483.39,4975.83,38.02,9308.34,6330.13,2978.21,0.0,organic,2016,WestTexNewMexico
1.49,13712.44,1451.0,4199.43,37.92,8024.09,7913.5,110.59,0.0,organic,2016,WestTexNewMexico
1.64,11626.56,1618.9,4032.03,2.34,5973.29,5957.67,15.62,0.0,organic,2016,WestTexNewMexico
1.47,12171.04,1554.09,4656.41,9.36,5951.18,5852.36,98.82,0.0,organic,2016,WestTexNewMexico
1.45,13237.48,1912.6,4779.17,25.72,6519.99,6447.25,72.74,0.0,organic,2016,WestTexNewMexico
1.37,12647.9,1591.6,4070.29,23.41,6962.6,6780.56,182.04,0.0,organic,2016,WestTexNewMexico
1.58,9667.05,1820.39,2783.11,16.41,5047.14,4651.16,395.98,0.0,organic,2016,WestTexNewMexico
1.46,3463.85,18.12,198.16,0.0,3247.57,3247.57,0.0,0.0,organic,2017,Albany
1.58,3694.13,31.68,327.39,0.0,3335.06,3335.06,0.0,0.0,organic,2017,Albany
1.43,3513.77,37.46,209.3,0.0,3267.01,3267.01,0.0,0.0,organic,2017,Albany
1.45,3779.98,18.04,262.14,0.0,3499.8,3499.8,0.0,0.0,organic,2017,Albany
1.44,3577.04,118.55,306.55,0.0,3151.94,3151.94,0.0,0.0,organic,2017,Albany
1.57,2841.29,27.75,182.15,0.0,2631.39,2631.39,0.0,0.0,organic,2017,Albany
1.75,2506.38,0.0,252.98,0.0,2253.4,2250.07,3.33,0.0,organic,2017,Albany
1.71,2664.62,0.0,245.71,0.0,2418.91,2418.91,0.0,0.0,organic,2017,Albany
1.5,3425.86,3.56,64.14,0.0,3358.16,3358.16,0.0,0.0,organic,2017,Albany
1.38,5583.79,12.99,180.62,0.0,5390.18,5390.18,0.0,0.0,organic,2017,Albany
1.49,4337.67,3.52,268.83,0.0,4065.32,4061.99,3.33,0.0,organic,2017,Albany
1.47,4522.84,18.71,237.43,0.0,4266.7,4266.7,0.0,0.0,organic,2017,Albany
1.4,5229.43,23.15,341.52,0.0,4864.76,4864.76,0.0,0.0,organic,2017,Albany
1.59,3423.95,31.2,150.24,0.0,3242.51,3242.51,0.0,0.0,organic,2017,Albany
1.42,3627.18,56.82,95.31,0.0,3475.05,3475.05,0.0,0.0,organic,2017,Albany
1.55,3431.2,30.32,215.1,0.0,3185.78,3185.78,0.0,0.0,organic,2017,Albany
1.78,3139.84,45.5,196.27,0.0,2898.07,2894.74,3.33,0.0,organic,2017,Albany
2.0,2022.0,112.42,254.49,0.0,1655.09,1655.09,0.0,0.0,organic,2017,Albany
1.91,2525.28,44.15,210.54,0.0,2270.59,2270.59,0.0,0.0,organic,2017,Albany
1.86,2584.08,61.21,143.82,0.0,2379.05,2379.05,0.0,0.0,organic,2017,Albany
1.9,2259.92,42.86,207.29,0.0,2009.77,2009.77,0.0,0.0,organic,2017,Albany
1.98,2576.49,39.31,331.89,0.0,2205.29,2205.29,0.0,0.0,organic,2017,Albany
1.67,2503.82,55.26,92.99,0.0,2355.57,2355.57,0.0,0.0,organic,2017,Albany
1.42,4233.61,93.39,93.39,0.0,4046.83,4046.83,0.0,0.0,organic,2017,Albany
1.87,2889.03,155.1,274.95,0.0,2458.98,2458.98,0.0,0.0,organic,2017,Albany
2.0,1883.1,38.06,187.9,0.0,1657.14,1657.14,0.0,0.0,organic,2017,Albany
2.03,2268.86,59.41,278.04,0.0,1931.41,1931.41,0.0,0.0,organic,2017,Albany
2.13,2898.81,142.46,295.6,0.0,2460.75,2460.75,0.0,0.0,organic,2017,Albany
2.03,3185.1,366.52,266.88,0.0,2551.7,2551.7,0.0,0.0,organic,2017,Albany
2.04,2719.24,21.33,248.87,0.0,2449.04,2449.04,0.0,0.0,organic,2017,Albany
1.63,3771.39,54.47,352.85,0.0,3364.07,3364.07,0.0,0.0,organic,2017,Albany
1.87,3365.45,11.93,344.88,0.0,3008.64,3008.64,0.0,0.0,organic,2017,Albany
1.84,3184.37,20.33,385.05,0.0,2778.99,2778.99,0.0,0.0,organic,2017,Albany
1.57,4270.28,44.12,450.74,0.0,3775.42,3775.42,0.0,0.0,organic,2017,Albany
1.79,2897.23,89.53,315.14,0.0,2492.56,2492.56,0.0,0.0,organic,2017,Albany
1.74,3046.63,388.81,280.28,0.0,2377.54,2377.54,0.0,0.0,organic,2017,Albany
1.92,2087.6,110.25,182.56,0.0,1794.79,1794.79,0.0,0.0,organic,2017,Albany
1.85,2886.48,265.82,203.84,0.0,2416.82,2416.82,0.0,0.0,organic,2017,Albany
1.92,2209.82,159.65,189.67,0.0,1860.5,1860.5,0.0,0.0,organic,2017,Albany
1.86,3492.87,885.46,362.37,0.0,2245.04,2245.04,0.0,0.0,organic,2017,Albany
2.02,2250.22,166.49,263.32,0.0,1820.41,1820.41,0.0,0.0,organic,2017,Albany
1.87,2763.38,503.14,175.98,0.0,2084.26,2084.26,0.0,0.0,organic,2017,Albany
1.97,2001.95,123.51,206.64,0.0,1671.8,1671.8,0.0,0.0,organic,2017,Albany
1.84,2228.14,241.0,208.79,0.0,1778.35,1778.35,0.0,0.0,organic,2017,Albany
1.71,2185.96,508.31,240.1,0.0,1437.55,1437.55,0.0,0.0,organic,2017,Albany
1.67,2523.56,1049.5,141.41,0.0,1332.65,1332.65,0.0,0.0,organic,2017,Albany
1.78,1806.4,119.52,170.57,0.0,1516.31,1516.31,0.0,0.0,organic,2017,Albany
1.72,1753.35,26.75,223.33,0.0,1503.27,1503.27,0.0,0.0,organic,2017,Albany
1.86,1795.81,32.53,123.14,0.0,1640.14,1640.14,0.0,0.0,organic,2017,Albany
1.82,1897.07,78.83,128.24,0.0,1690.0,1690.0,0.0,0.0,organic,2017,Albany
1.84,1982.65,82.3,328.02,0.0,1572.33,1572.33,0.0,0.0,organic,2017,Albany
1.94,2229.52,63.46,478.31,0.0,1687.75,1687.75,0.0,0.0,organic,2017,Albany
1.87,1376.7,71.65,192.63,0.0,1112.42,1112.42,0.0,0.0,organic,2017,Albany
1.28,17217.91,331.16,3474.3,0.0,13412.45,11486.03,1926.42,0.0,organic,2017,Atlanta
1.59,15311.1,443.44,4328.48,0.0,10539.18,9273.56,1265.62,0.0,organic,2017,Atlanta
1.59,11548.46,343.83,3504.07,0.0,7700.56,5440.12,2260.44,0.0,organic,2017,Atlanta
1.63,13300.51,332.1,3555.77,0.0,9412.64,5748.61,3664.03,0.0,organic,2017,Atlanta
1.62,10609.29,380.9,3883.18,0.0,6345.21,5731.0,614.21,0.0,organic,2017,Atlanta
1.66,11834.89,344.14,3863.03,0.0,7627.72,6495.07,1132.65,0.0,organic,2017,Atlanta
1.62,10393.69,186.36,4241.25,0.0,5966.08,5612.89,353.19,0.0,organic,2017,Atlanta
1.8,12115.78,199.47,4259.52,0.0,7656.79,6474.29,1182.5,0.0,organic,2017,Atlanta
1.86,11588.38,447.38,3686.33,0.0,7454.67,5330.44,2124.23,0.0,organic,2017,Atlanta
2.04,15731.26,319.28,3788.49,0.0,11623.49,5403.29,6220.2,0.0,organic,2017,Atlanta
2.06,14351.98,390.46,4323.24,0.0,9638.28,5432.51,4205.77,0.0,organic,2017,Atlanta
2.23,11405.18,344.76,4738.94,0.0,6321.48,5368.04,953.44,0.0,organic,2017,Atlanta
2.55,12275.61,371.26,4535.92,0.0,7368.43,6809.48,558.95,0.0,organic,2017,Atlanta
2.75,13557.58,543.85,4724.38,0.0,8289.35,4856.11,3433.24,0.0,organic,2017,Atlanta
2.56,18912.3,507.34,5068.56,0.0,13336.4,4252.99,9083.41,0.0,organic,2017,Atlanta
2.54,17292.22,521.38,5064.08,0.0,11706.76,4932.3,6774.46,0.0,organic,2017,Atlanta
2.59,13955.66,599.45,5931.44,0.0,7424.77,4617.04,2807.73,0.0,organic,2017,Atlanta
2.59,17990.83,538.17,5588.7,0.0,11863.96,3850.84,8013.12,0.0,organic,2017,Atlanta
2.59,13910.32,639.25,6918.13,0.0,6352.94,2356.85,3996.09,0.0,organic,2017,Atlanta
2.18,17338.42,587.96,6921.22,0.0,9829.24,8159.53,1669.71,0.0,organic,2017,Atlanta
2.14,14533.65,516.53,5399.86,0.0,8617.26,8579.26,38.0,0.0,organic,2017,Atlanta
1.97,13998.62,451.86,5641.82,0.0,7904.94,5936.32,1968.62,0.0,organic,2017,Atlanta
1.78,15501.08,431.93,6137.14,0.0,8932.01,4879.96,4052.05,0.0,organic,2017,Atlanta
1.85,17588.07,609.88,7547.2,0.0,9430.99,4594.8,4836.19,0.0,organic,2017,Atlanta
1.89,14396.43,471.9,7657.36,0.0,6267.17,2880.81,3386.36,0.0,organic,2017,Atlanta
1.61,22122.61,564.97,10263.73,0.0,11293.91,4751.26,6542.65,0.0,organic,2017,Atlanta
1.53,23108.17,674.17,9001.27,0.0,13432.73,3832.88,9599.85,0.0,organic,2017,Atlanta
1.31,30581.47,607.94,7832.9,0.0,22140.63,4645.5,17495.13,0.0,organic,2017,Atlanta
1.49,23485.92,852.47,9300.22,0.0,13333.23,4532.28,8800.95,0.0,organic,2017,Atlanta
1.06,33969.35,1251.33,6518.33,0.0,26199.69,4281.35,21918.34,0.0,organic,2017,Atlanta
1.44,20445.39,1464.32,5926.88,0.0,13054.19,2610.58,10443.61,0.0,organic,2017,Atlanta
1.59,19501.92,1301.7,6521.28,0.0,11678.94,979.75,10699.19,0.0,organic,2017,Atlanta
1.38,21857.76,1307.02,7474.67,0.0,13076.07,1010.73,12065.34,0.0,organic,2017,Atlanta
1.46,15466.97,988.48,7007.8,0.0,7470.69,239.81,7230.88,0.0,organic,2017,Atlanta
1.37,18229.58,338.98,7980.14,0.0,9910.46,238.99,9671.47,0.0,organic,2017,Atlanta
1.59,15041.91,1487.72,7556.77,0.0,5997.42,194.73,5802.69,0.0,organic,2017,Atlanta
1.63,13269.05,1704.94,7073.78,0.0,4490.33,147.22,4343.11,0.0,organic,2017,Atlanta
1.27,16411.1,1593.09,7034.18,0.0,7783.83,278.87,7504.96,0.0,organic,2017,Atlanta
0.91,24438.67,1358.59,5782.33,0.0,17297.75,1629.46,15668.29,0.0,organic,2017,Atlanta
1.26,16943.34,1252.51,6359.96,0.0,9330.87,636.1,8694.77,0.0,organic,2017,Atlanta
1.27,16209.23,1653.21,5804.09,0.0,8751.93,146.67,8605.26,0.0,organic,2017,Atlanta
1.23,11754.42,1756.42,4656.72,0.0,5341.28,125.41,5215.87,0.0,organic,2017,Atlanta
0.9,18563.32,2140.74,4782.95,0.0,11639.63,189.89,11449.74,0.0,organic,2017,Atlanta
0.62,32292.39,2078.48,4175.17,0.0,26038.74,342.28,25696.46,0.0,organic,2017,Atlanta
0.64,24322.77,1111.31,3495.28,0.0,19716.18,150.0,19566.18,0.0,organic,2017,Atlanta
1.06,11866.71,1388.4,3401.6,0.0,7076.71,85.62,6991.09,0.0,organic,2017,Atlanta
1.07,11072.75,1085.35,4061.87,0.0,5925.53,200.31,5725.22,0.0,organic,2017,Atlanta
1.28,9685.15,1418.26,4208.97,0.0,4057.92,35.71,4022.21,0.0,organic,2017,Atlanta
1.53,7330.86,1102.57,4181.73,0.0,2046.56,5.58,2040.98,0.0,organic,2017,Atlanta
1.62,7484.99,1121.56,4738.82,0.0,1624.61,2.79,1621.82,0.0,organic,2017,Atlanta
1.62,6291.29,1129.49,3582.5,0.0,1579.3,0.0,1579.3,0.0,organic,2017,Atlanta
1.74,8244.17,1456.0,5316.57,0.0,1471.6,0.0,1471.6,0.0,organic,2017,Atlanta
1.81,5342.85,956.73,2862.95,0.0,1523.17,5.55,1517.62,0.0,organic,2017,Atlanta
1.53,40942.37,1177.45,7959.34,122.36,31683.22,31680.42,2.8,0.0,organic,2017,BaltimoreWashington
1.56,35540.32,919.11,5886.28,89.47,28645.46,28639.86,5.6,0.0,organic,2017,BaltimoreWashington
1.58,34581.64,1256.76,7053.3,50.28,26221.3,26217.97,3.33,0.0,organic,2017,BaltimoreWashington
1.51,41451.11,1979.76,6934.12,73.99,32463.24,32436.83,26.41,0.0,organic,2017,BaltimoreWashington
1.58,38753.69,1415.83,7869.09,76.35,29392.42,29382.7,9.72,0.0,organic,2017,BaltimoreWashington
1.69,31688.93,882.64,6845.96,64.4,23895.93,23890.38,5.55,0.0,organic,2017,BaltimoreWashington
1.8,28942.29,839.81,7176.02,74.84,20851.62,20843.85,7.77,0.0,organic,2017,BaltimoreWashington
1.81,33641.31,823.07,7144.26,105.89,25568.09,25558.09,10.0,0.0,organic,2017,BaltimoreWashington
1.84,35881.7,1134.54,8053.87,75.7,26617.59,26614.26,3.33,0.0,organic,2017,BaltimoreWashington
1.81,37155.43,986.73,9121.99,99.38,26947.33,26934.0,13.33,0.0,organic,2017,BaltimoreWashington
1.64,47486.93,815.38,10255.4,71.21,36344.94,36343.5,1.44,0.0,organic,2017,BaltimoreWashington
1.6,56559.22,939.94,8821.8,68.85,46728.63,46728.63,0.0,0.0,organic,2017,BaltimoreWashington
1.5,67233.45,2811.23,6844.1,80.66,57497.46,57494.13,3.33,0.0,organic,2017,BaltimoreWashington
1.62,48973.13,2863.92,5844.08,56.27,40208.86,40203.04,5.82,0.0,organic,2017,BaltimoreWashington
