"pollution","dew","temp","press","wnd_dir","wnd_spd","snow","rain","Year","Month (number)","Hour"
51,17,31,1002,0,38.9,0,0,2014,7,18
49,17,30,1002,0,42.92,0,0,2014,7,19
54,18,30,1003,0,47.84,0,0,2014,7,20
62,20,28,1003,0,51.86,0,1,2014,7,21
73,21,26,1003,0,53.65,0,2,2014,7,22
81,20,27,1004,0,56.78,0,0,2014,7,23
93,20,27,1004,1,1.79,0,0,2014,7,0
108,20,24,1003,3,1.79,0,0,2014,7,1
112,20,24,1003,0,1.79,0,0,2014,7,2
113,21,24,1003,0,3.58,0,0,2014,7,3
85,21,24,1003,1,0.89,0,0,2014,7,4
90,21,24,1003,0,1.79,0,0,2014,7,5
85,21,24,1004,1,0.89,0,0,2014,7,6
121,21,25,1004,3,1.79,0,0,2014,7,7
130,21,26,1004,0,1.79,0,0,2014,7,8
133,22,27,1004,1,0.89,0,0,2014,7,9
148,21,27,1005,1,1.78,0,0,2014,7,10
160,22,27,1004,0,1.79,0,1,2014,7,11
159,21,27,1005,1,0.89,0,2,2014,7,12
172,23,26,1003,3,1.79,0,3,2014,7,13
142,22,29,1002,2,1.79,0,0,2014,7,14
146,22,30,1002,0,3.13,0,0,2014,7,15
134,22,31,1002,0,6.26,0,0,2014,7,16
111,21,28,1002,0,13.41,0,0,2014,7,17
90,20,27,1002,0,17.43,0,0,2014,7,18
60,20,26,1003,0,21.45,0,1,2014,7,19
60,21,24,1004,0,24.58,0,2,2014,7,20
70,20,24,1005,0,26.37,0,0,2014,7,21
80,21,23,1005,1,0.89,0,0,2014,7,22
74,20,22,1006,2,1.79,0,0,2014,7,23
64,19,22,1004,1,0.89,0,0,2014,7,0
82,20,23,1006,3,3.13,0,0,2014,7,1
111,20,23,1005,0,1.79,0,0,2014,7,2
112,20,23,1005,3,1.79,0,0,2014,7,3
128,20,23,1005,0,1.79,0,0,2014,7,4
126,20,23,1006,1,0.89,0,0,2014,7,5
147,21,23,1006,1,1.34,0,0,2014,7,6
135,20,24,1006,1,2.23,0,0,2014,7,7
142,21,24,1006,1,3.12,0,0,2014,7,8
144,21,26,1006,3,1.79,0,0,2014,7,9
142,21,26,1006,0,1.79,0,0,2014,7,10
139,21,28,1006,0,3.58,0,0,2014,7,11
129,21,28,1006,0,5.37,0,0,2014,7,12
132,21,29,1005,0,9.39,0,0,2014,7,13
130,22,28,1005,0,14.31,0,0,2014,7,14
162,22,28,1005,0,17.44,0,0,2014,7,15
162,22,28,1005,0,19.23,0,0,2014,7,16
163,22,28,1005,1,0.89,0,0,2014,7,17
152,22,28,1005,1,1.78,0,0,2014,7,18
150,23,28,1006,1,2.67,0,0,2014,7,19
160,22,26,1006,1,3.56,0,0,2014,7,20
172,23,26,1007,3,0.89,0,0,2014,7,21
188,23,26,1007,3,1.78,0,0,2014,7,22
195,23,26,1007,1,0.89,0,0,2014,7,23
220,23,26,1006,3,1.79,0,0,2014,7,0
191,23,25,1006,1,0.89,0,0,2014,7,1
154,22,26,1006,0,3.13,0,0,2014,7,2
158,21,25,1007,3,0.89,0,0,2014,7,3
131,21,25,1007,3,2.68,0,0,2014,7,4
128,21,24,1007,1,0.45,0,0,2014,7,5
123,22,25,1007,0,0.89,0,0,2014,7,6
112,21,25,1008,0,2.68,0,0,2014,7,7
122,21,26,1008,0,4.47,0,0,2014,7,8
113,22,28,1008,0,7.6,0,0,2014,7,9
109,22,29,1008,0,9.39,0,0,2014,7,10
120,23,30,1008,0,11.18,0,0,2014,7,11
125,23,31,1007,1,1.79,0,0,2014,7,12
127,24,32,1007,1,3.58,0,0,2014,7,13
143,23,33,1006,0,1.79,0,0,2014,7,14
109,23,34,1006,0,4.92,0,0,2014,7,15
96,23,34,1006,0,8.94,0,0,2014,7,16
80,22,34,1005,0,12.96,0,0,2014,7,17
96,22,34,1005,0,16.98,0,0,2014,7,18
106,23,32,1006,0,18.77,0,0,2014,7,19
103,23,32,1006,0,20.56,0,0,2014,7,20
84,24,30,1007,1,0.89,0,0,2014,7,21
80,24,29,1007,0,0.89,0,0,2014,7,22
81,24,29,1007,0,1.78,0,0,2014,7,23
87,24,28,1007,0,3.57,0,0,2014,7,0
69,24,28,1007,0,5.36,0,0,2014,7,1
73,23,28,1008,0,7.15,0,0,2014,7,2
72,23,26,1008,0,8.04,0,0,2014,7,3
77,23,27,1008,0,9.83,0,0,2014,7,4
77,23,27,1008,0,11.62,0,0,2014,7,5
75,24,27,1009,1,0.89,0,0,2014,7,6
72,24,28,1009,0,0.89,0,0,2014,7,7
68,24,30,1009,0,2.68,0,0,2014,7,8
60,24,32,1010,1,1.79,0,0,2014,7,9
48,24,34,1009,0,3.13,0,0,2014,7,10
52,23,34,1009,0,6.26,0,0,2014,7,11
66,23,36,1009,0,10.28,0,0,2014,7,12
57,23,35,1008,1,4.92,0,0,2014,7,13
51,23,36,1008,0,4.02,0,0,2014,7,14
45,23,36,1007,0,8.04,0,0,2014,7,15
38,22,37,1006,0,12.06,0,0,2014,7,16
45,22,36,1006,0,16.08,0,0,2014,7,17
48,22,35,1006,0,21,0,0,2014,7,18
53,22,34,1007,0,25.02,0,0,2014,7,19
64,23,33,1007,0,28.15,0,0,2014,7,20
72,24,32,1008,0,32.17,0,0,2014,7,21
81,24,31,1008,0,33.96,0,0,2014,7,22
66,24,31,1008,0,35.75,0,0,2014,7,23
41,24,31,1008,0,39.77,0,1,2014,7,0
46,23,30,1007,1,1.79,0,2,2014,7,1
60,24,29,1007,0,1.79,0,0,2014,7,2
57,24,28,1007,0,3.58,0,0,2014,7,3
65,24,27,1007,0,6.71,0,0,2014,7,4
64,23,27,1007,1,0.89,0,0,2014,7,5
62,23,27,1007,0,1.79,0,0,2014,7,6
55,23,28,1007,0,4.92,0,0,2014,7,7
52,23,30,1007,0,8.05,0,0,2014,7,8
55,23,31,1007,0,9.84,0,0,2014,7,9
60,23,32,1007,0,12.97,0,0,2014,7,10
52,23,33,1006,0,16.99,0,0,2014,7,11
55,23,34,1005,0,21.01,0,0,2014,7,12
67,24,34,1004,0,25.93,0,0,2014,7,13
85,24,34,1004,0,30.85,0,0,2014,7,14
87,23,35,1003,0,35.77,0,0,2014,7,15
79,23,36,1002,0,41.58,0,0,2014,7,16
60,22,35,1001,0,48.73,0,0,2014,7,17
69,22,35,1002,0,54.54,0,0,2014,7,18
59,23,34,1002,0,58.56,0,0,2014,7,19
53,23,33,1002,0,61.69,0,0,2014,7,20
55,23,33,1002,0,65.71,0,0,2014,7,21
52,23,33,1002,0,69.73,0,0,2014,7,22
48,23,32,1001,0,72.86,0,0,2014,7,23
56,24,32,1001,0,74.65,0,0,2014,7,0
59,24,31,1000,0,76.44,0,0,2014,7,1
60,24,30,1000,0,79.57,0,0,2014,7,2
55,24,30,999,0,82.7,0,0,2014,7,3
59,24,30,1000,0,85.83,0,0,2014,7,4
59,24,30,1000,0,88.96,0,0,2014,7,5
53,19,30,1001,2,8.94,0,0,2014,7,6
20,20,26,1002,2,13.86,0,1,2014,7,7
20,20,27,1002,2,19.67,0,0,2014,7,8
20,21,27,1003,2,23.69,0,0,2014,7,9
11,20,28,1003,2,27.71,0,0,2014,7,10
15,21,30,1002,2,31.73,0,0,2014,7,11
12,21,32,1002,3,3.13,0,0,2014,7,12
15,17,32,1002,2,5.81,0,0,2014,7,13
14,17,34,1002,2,11.62,0,0,2014,7,14
15,17,35,1001,2,14.75,0,0,2014,7,15
13,18,34,1002,3,1.79,0,0,2014,7,16
11,18,35,1002,1,1.79,0,0,2014,7,17
14,18,33,1002,3,1.79,0,0,2014,7,18
15,18,32,1002,1,0.89,0,0,2014,7,19
17,15,32,1003,3,3.13,0,0,2014,7,20
14,16,31,1004,3,6.26,0,0,2014,7,21
11,16,29,1004,2,3.13,0,0,2014,7,22
9,14,30,1004,2,7.15,0,0,2014,7,23
6,16,29,1004,2,8.94,0,0,2014,7,0
6,16,27,1005,2,10.73,0,0,2014,7,1
13,17,27,1005,2,12.52,0,0,2014,7,2
10,16,27,1005,3,1.79,0,0,2014,7,3
16,16,27,1006,2,3.13,0,0,2014,7,4
16,16,26,1006,2,4.92,0,0,2014,7,5
14,16,27,1006,2,8.94,0,0,2014,7,6
18,16,27,1006,2,12.96,0,0,2014,7,7
19,17,27,1007,2,14.75,0,0,2014,7,8
15,15,29,1007,2,16.54,0,0,2014,7,9
12,17,28,1007,1,0.89,0,0,2014,7,10
0,17,29,1007,3,1.79,0,0,2014,7,11
0,16,29,1007,2,3.13,0,0,2014,7,12
18,17,29,1007,2,8.05,0,0,2014,7,13
17,16,30,1007,2,12.07,0,1,2014,7,14
16,17,29,1006,2,17.88,0,0,2014,7,15
16,17,29,1006,2,21.01,0,0,2014,7,16
11,17,29,1006,2,24.14,0,0,2014,7,17
15,16,29,1006,2,28.16,0,0,2014,7,18
8,17,27,1006,1,0.89,0,0,2014,7,19
12,16,28,1006,2,3.13,0,0,2014,7,20
19,16,28,1006,2,6.26,0,0,2014,7,21
21,15,28,1006,2,10.28,0,0,2014,7,22
17,15,28,1006,2,14.3,0,0,2014,7,23
16,15,27,1006,2,17.43,0,0,2014,7,0
20,15,27,1005,2,21.45,0,0,2014,7,1
20,15,27,1005,2,24.58,0,0,2014,7,2
21,16,26,1005,2,26.37,0,0,2014,7,3
23,17,24,1005,1,0.45,0,0,2014,7,4
12,18,23,1005,1,0.9,0,0,2014,7,5
13,18,23,1005,1,1.35,0,0,2014,7,6
19,16,26,1005,2,1.79,0,0,2014,7,7
20,19,25,1005,1,0.89,0,0,2014,7,8
16,18,26,1005,2,1.79,0,0,2014,7,9
18,16,28,1005,2,4.92,0,0,2014,7,10
19,16,29,1004,2,8.94,0,0,2014,7,11
13,15,30,1004,2,12.07,0,0,2014,7,12
22,15,31,1004,0,3.13,0,0,2014,7,13
20,14,32,1003,0,6.26,0,0,2014,7,14
16,13,32,1002,2,3.13,0,0,2014,7,15
20,14,32,1002,2,6.26,0,0,2014,7,16
21,14,32,1001,2,8.05,0,0,2014,7,17
21,14,32,1001,2,11.18,0,0,2014,7,18
42,18,30,1002,0,4.02,0,0,2014,7,19
46,18,29,1002,0,8.04,0,0,2014,7,20
43,19,30,1003,0,11.17,0,0,2014,7,21
42,19,26,1003,1,0.89,0,0,2014,7,22
41,20,25,1003,0,0.89,0,0,2014,7,23
46,21,25,1003,1,0.89,0,0,2014,7,0
55,21,24,1003,3,0.89,0,0,2014,7,1
52,21,24,1003,1,0.45,0,0,2014,7,2
50,21,24,1003,1,1.34,0,0,2014,7,3
74,20,24,1003,3,0.89,0,0,2014,7,4
73,20,23,1003,2,0.89,0,0,2014,7,5
82,20,23,1004,3,0.89,0,0,2014,7,6
74,20,24,1005,1,0.89,0,0,2014,7,7
76,20,25,1005,1,1.34,0,1,2014,7,8
82,21,26,1006,3,1.79,0,0,2014,7,9
90,21,26,1006,1,0.89,0,1,2014,7,10
103,21,26,1007,0,1.79,0,2,2014,7,11
89,20,28,1007,2,3.13,0,3,2014,7,12
67,21,28,1006,2,6.26,0,0,2014,7,13
85,20,29,1006,1,0.89,0,0,2014,7,14
62,20,29,1006,1,1.78,0,0,2014,7,15
50,19,29,1005,0,1.79,0,0,2014,7,16
69,20,29,1005,0,3.58,0,0,2014,7,17
51,19,30,1005,0,6.71,0,0,2014,7,18
24,18,28,1005,0,9.84,0,0,2014,7,19
